date,nonfarm_payrolls_k,unemployment_rate_pct,nonfarm_payrolls_change_k
1948-01-01,44679,3.4,
1948-02-01,44533,3.8,-146.0
1948-03-01,44683,4.0,150.0
1948-04-01,44379,3.9,-304.0
1948-05-01,44796,3.5,417.0
1948-06-01,45034,3.6,238.0
1948-07-01,45160,3.6,126.0
1948-08-01,45178,3.9,18.0
1948-09-01,45294,3.8,116.0
1948-10-01,45245,3.7,-49.0
1948-11-01,45192,3.8,-53.0
1948-12-01,45032,4.0,-160.0
1949-01-01,44668,4.3,-364.0
1949-02-01,44497,4.7,-171.0
1949-03-01,44240,5.0,-257.0
1949-04-01,44236,5.3,-4.0
1949-05-01,43984,6.1,-252.0
1949-06-01,43739,6.2,-245.0
1949-07-01,43531,6.7,-208.0
1949-08-01,43624,6.8,93.0
1949-09-01,43780,6.6,156.0
1949-10-01,42942,7.9,-838.0
1949-11-01,43242,6.4,300.0
1949-12-01,43522,6.6,280.0
1950-01-01,43526,6.5,4.0
1950-02-01,43297,6.4,-229.0
1950-03-01,43954,6.3,657.0
1950-04-01,44382,5.8,428.0
1950-05-01,44718,5.5,336.0
1950-06-01,45083,5.4,365.0
1950-07-01,45454,5.0,371.0
1950-08-01,46192,4.5,738.0
1950-09-01,46438,4.4,246.0
1950-10-01,46706,4.2,268.0
1950-11-01,46776,4.2,70.0
1950-12-01,46861,4.3,85.0
1951-01-01,47288,3.7,427.0
1951-02-01,47577,3.4,289.0
1951-03-01,47873,3.4,296.0
1951-04-01,47861,3.1,-12.0
1951-05-01,47952,3.0,91.0
1951-06-01,48064,3.2,112.0
1951-07-01,48061,3.1,-3.0
1951-08-01,48012,3.1,-49.0
1951-09-01,47954,3.3,-58.0
1951-10-01,48006,3.5,52.0
1951-11-01,48147,3.5,141.0
1951-12-01,48314,3.1,167.0
1952-01-01,48296,3.2,-18.0
1952-02-01,48522,3.1,226.0
1952-03-01,48504,2.9,-18.0
1952-04-01,48620,2.9,116.0
1952-05-01,48642,3.0,22.0
1952-06-01,48282,3.0,-360.0
1952-07-01,48143,3.2,-139.0
1952-08-01,48924,3.4,781.0
1952-09-01,49320,3.1,396.0
1952-10-01,49597,3.0,277.0
1952-11-01,49816,2.8,219.0
1952-12-01,50166,2.7,350.0
1953-01-01,50144,2.9,-22.0
1953-02-01,50339,2.6,195.0
1953-03-01,50473,2.6,134.0
1953-04-01,50435,2.7,-38.0
1953-05-01,50490,2.5,55.0
1953-06-01,50519,2.5,29.0
1953-07-01,50536,2.6,17.0
1953-08-01,50489,2.7,-47.0
1953-09-01,50368,2.9,-121.0
1953-10-01,50240,3.1,-128.0
1953-11-01,49908,3.5,-332.0
1953-12-01,49703,4.5,-205.0
1954-01-01,49469,4.9,-234.0
1954-02-01,49382,5.2,-87.0
1954-03-01,49157,5.7,-225.0
1954-04-01,49179,5.9,22.0
1954-05-01,48965,5.9,-214.0
1954-06-01,48895,5.6,-70.0
1954-07-01,48835,5.8,-60.0
1954-08-01,48826,6.0,-9.0
1954-09-01,48886,6.1,60.0
1954-10-01,48942,5.7,56.0
1954-11-01,49180,5.3,238.0
1954-12-01,49331,5.0,151.0
1955-01-01,49496,4.9,165.0
1955-02-01,49644,4.7,148.0
1955-03-01,49962,4.6,318.0
1955-04-01,50248,4.7,286.0
1955-05-01,50512,4.3,264.0
1955-06-01,50790,4.2,278.0
1955-07-01,50987,4.0,197.0
1955-08-01,51111,4.2,124.0
1955-09-01,51266,4.1,155.0
1955-10-01,51429,4.3,163.0
1955-11-01,51592,4.2,163.0
1955-12-01,51805,4.2,213.0
1956-01-01,51975,4.0,170.0
1956-02-01,52167,3.9,192.0
1956-03-01,52294,4.2,127.0
1956-04-01,52375,4.0,81.0
1956-05-01,52506,4.3,131.0
1956-06-01,52586,4.3,80.0
1956-07-01,51955,4.4,-631.0
1956-08-01,52631,4.1,676.0
1956-09-01,52604,3.9,-27.0
1956-10-01,52777,3.9,173.0
1956-11-01,52821,4.3,44.0
1956-12-01,52929,4.2,108.0
1957-01-01,52887,4.2,-42.0
1957-02-01,53097,3.9,210.0
1957-03-01,53156,3.7,59.0
1957-04-01,53238,3.9,82.0
1957-05-01,53150,4.1,-88.0
1957-06-01,53067,4.3,-83.0
1957-07-01,53123,4.2,56.0
1957-08-01,53128,4.1,5.0
1957-09-01,52934,4.4,-194.0
1957-10-01,52763,4.5,-171.0
1957-11-01,52558,5.1,-205.0
1957-12-01,52384,5.2,-174.0
1958-01-01,52076,5.8,-308.0
1958-02-01,51576,6.4,-500.0
1958-03-01,51299,6.7,-277.0
1958-04-01,51027,7.4,-272.0
1958-05-01,50914,7.4,-113.0
1958-06-01,50914,7.3,0.0
1958-07-01,51039,7.5,125.0
1958-08-01,51233,7.4,194.0
1958-09-01,51506,7.1,273.0
1958-10-01,51485,6.7,-21.0
1958-11-01,51944,6.2,459.0
1958-12-01,52085,6.2,141.0
1959-01-01,52478,6.0,393.0
1959-02-01,52688,5.9,210.0
1959-03-01,53014,5.6,326.0
1959-04-01,53321,5.2,307.0
1959-05-01,53550,5.1,229.0
1959-06-01,53681,5.0,131.0
1959-07-01,53804,5.1,123.0
1959-08-01,53336,5.2,-468.0
1959-09-01,53428,5.5,92.0
1959-10-01,53358,5.7,-70.0
1959-11-01,53634,5.8,276.0
1959-12-01,54174,5.3,540.0
1960-01-01,54274,5.2,100.0
1960-02-01,54513,4.8,239.0
1960-03-01,54454,5.4,-59.0
1960-04-01,54813,5.2,359.0
1960-05-01,54475,5.1,-338.0
1960-06-01,54348,5.4,-127.0
1960-07-01,54306,5.5,-42.0
1960-08-01,54272,5.6,-34.0
1960-09-01,54227,5.5,-45.0
1960-10-01,54142,6.1,-85.0
1960-11-01,53961,6.1,-181.0
1960-12-01,53742,6.6,-219.0
1961-01-01,53683,6.6,-59.0
1961-02-01,53557,6.9,-126.0
1961-03-01,53659,6.9,102.0
1961-04-01,53627,7.0,-32.0
1961-05-01,53786,7.1,159.0
1961-06-01,53977,6.9,191.0
1961-07-01,54123,7.0,146.0
1961-08-01,54298,6.6,175.0
1961-09-01,54388,6.7,90.0
1961-10-01,54522,6.5,134.0
1961-11-01,54742,6.1,220.0
1961-12-01,54872,6.0,130.0
1962-01-01,54891,5.8,19.0
1962-02-01,55188,5.5,297.0
1962-03-01,55275,5.6,87.0
1962-04-01,55602,5.6,327.0
1962-05-01,55628,5.5,26.0
1962-06-01,55644,5.5,16.0
1962-07-01,55746,5.4,102.0
1962-08-01,55838,5.7,92.0
1962-09-01,55978,5.6,140.0
1962-10-01,56041,5.4,63.0
1962-11-01,56056,5.7,15.0
1962-12-01,56028,5.5,-28.0
1963-01-01,56115,5.7,87.0
1963-02-01,56230,5.9,115.0
1963-03-01,56320,5.7,90.0
1963-04-01,56580,5.7,260.0
1963-05-01,56616,5.9,36.0
1963-06-01,56659,5.6,43.0
1963-07-01,56794,5.6,135.0
1963-08-01,56910,5.4,116.0
1963-09-01,57078,5.5,168.0
1963-10-01,57283,5.5,205.0
1963-11-01,57255,5.7,-28.0
1963-12-01,57361,5.5,106.0
1964-01-01,57487,5.6,126.0
1964-02-01,57753,5.4,266.0
1964-03-01,57897,5.4,144.0
