date,o,h,l,c,v
2009-09-28,20.5598,20.6174,20.5598,20.5598,800
2009-09-29,20.5598,20.5598,20.5598,20.5598,0
2009-09-30,20.2882,20.2882,20.2882,20.2882,1000
2009-10-01,20.3211,20.3211,20.2965,20.3047,22000
2009-10-02,20.0248,20.0248,20.0166,20.0166,2200
2009-10-05,20.0166,20.0166,20.0166,20.0166,0
2009-10-06,20.0166,20.0166,20.0166,20.0166,0
2009-10-07,20.4858,20.5434,20.4858,20.5434,600
2009-10-08,20.5434,20.5434,20.5434,20.5434,0
2009-10-09,20.5434,20.5434,20.5434,20.5434,0
2009-10-12,20.8891,20.8891,20.8891,20.8891,300
2009-10-13,20.8891,20.8891,20.8891,20.8891,0
2009-10-14,20.9960,21.1030,20.9549,21.1030,13900
2009-10-15,21.0701,21.1030,21.0619,21.1030,1500
2009-10-16,21.0784,21.1277,21.0043,21.1277,14700
2009-10-19,21.2924,21.3006,21.2841,21.2924,2900
2009-10-20,21.2430,21.2430,21.1113,21.1771,1700
2009-10-21,21.2018,21.2923,21.0043,21.0125,53500
2009-10-22,21.0537,21.0537,21.0537,21.0537,100
2009-10-23,21.1442,21.1442,20.9878,21.0866,36700
2009-10-26,21.1689,21.1689,20.9714,20.9714,7500
2009-10-27,20.9384,20.9384,20.8068,20.8314,600
2009-10-28,20.7821,20.7821,20.5763,20.5763,4100
2009-10-29,20.6751,20.8726,20.6668,20.8726,2100
2009-10-30,20.8314,20.8644,20.4035,20.4035,13600
2009-11-02,20.4940,20.6339,20.4940,20.5187,9600
2009-11-03,20.5516,20.5516,20.4858,20.5351,1300
2009-11-04,20.8068,20.8644,20.1895,20.6586,6400
2009-11-05,20.8314,21.0372,20.8314,21.0372,2000
2009-11-06,21.1030,21.1030,21.1030,21.1030,100
2009-11-09,21.3746,21.4487,21.3746,21.4487,3500
2009-11-10,21.5310,21.5722,21.5310,21.5722,800
2009-11-11,21.7039,21.7450,21.6627,21.6792,2200
2009-11-12,21.6051,21.6298,21.5475,21.5475,900
2009-11-13,21.5887,21.7203,21.5804,21.5804,2500
2009-11-16,21.8603,21.8603,21.8603,21.8603,100
2009-11-17,21.9014,21.9919,21.9014,21.9919,900
2009-11-18,21.8932,21.9179,21.8932,21.9179,1800
2009-11-19,21.6874,21.7615,21.6874,21.7615,1200
2009-11-20,21.6956,21.7121,21.6956,21.7121,3300
2009-11-23,22.0249,22.0249,21.9919,21.9919,1400
2009-11-24,21.9919,21.9919,21.9919,21.9919,0
2009-11-25,22.0084,22.0742,22.0084,22.0660,2100
2009-11-27,21.7450,21.7450,21.7450,21.7450,100
2009-11-30,21.8603,21.8603,21.7368,21.7368,23500
2009-12-01,21.9837,22.1236,21.9837,22.1072,10400
2009-12-02,22.1648,22.1648,22.1648,22.1648,200
2009-12-03,22.1072,22.1319,21.9179,21.9179,3100
2009-12-04,21.9261,22.0002,21.9261,22.0002,400
2009-12-07,22.0002,22.0002,22.0002,22.0002,0
2009-12-08,21.8109,21.8109,21.6709,21.6709,23700
2009-12-09,21.7039,21.7039,21.7039,21.7039,100
2009-12-10,21.9755,21.9755,21.9755,21.9755,500
2009-12-11,22.0825,22.0825,22.0825,22.0825,300
2009-12-14,22.1319,22.1319,22.0578,22.1319,2200
2009-12-15,22.0496,22.0496,22.0166,22.0166,6300
2009-12-16,22.1483,22.1483,22.0002,22.0002,1400
2009-12-17,22.0002,22.0002,22.0002,22.0002,0
2009-12-18,21.8849,21.8849,21.7533,21.7533,1400
2009-12-21,22.0907,22.1154,22.0907,22.1072,700
2009-12-22,22.1977,22.2142,22.1895,22.1977,16500
2009-12-23,22.2547,22.2795,22.2051,22.2795,4500
2009-12-24,22.2795,22.2795,22.2795,22.2795,0
2009-12-28,22.4531,22.4613,22.4035,22.4365,5200
2009-12-29,22.5109,22.5109,22.4944,22.4944,500
2009-12-30,22.4035,22.4778,22.4035,22.4778,4700
2009-12-31,22.4779,22.4779,22.3952,22.3952,1500
2010-01-04,22.3952,22.5440,22.3952,22.5192,2500
2010-01-05,22.5192,22.5192,22.4117,22.4117,1900
2010-01-06,22.4778,22.4778,22.4778,22.4778,5100
2010-01-07,22.4035,22.4035,22.3043,22.3869,1700
2010-01-08,22.4200,22.4944,22.4200,22.4696,5800
2010-01-11,22.5688,22.5688,22.5274,22.5274,900
2010-01-12,22.5274,22.5274,22.5274,22.5274,0
2010-01-13,22.4779,22.5770,22.4779,22.5770,600
2010-01-14,22.5605,22.6597,22.5605,22.6597,4100
2010-01-15,22.4448,22.5026,22.4448,22.4944,5600
2010-01-19,22.5192,23.1638,22.5192,22.7671,250400
2010-01-20,22.3952,22.5026,22.3374,22.5026,6100
2010-01-21,22.3126,22.3126,22.1225,22.1225,42700
2010-01-22,22.0068,22.0068,21.6928,21.6928,1500
2010-01-25,21.8498,21.8663,21.7341,21.7837,51100
2010-01-26,21.8746,21.8746,21.7589,21.7589,1600
2010-01-27,21.6680,21.9324,21.6101,21.8085,194800
2010-01-28,21.8167,21.8167,21.4779,21.4779,2200
2010-01-29,21.5606,21.6597,21.2465,21.2465,4600
2010-02-01,21.3953,21.4614,21.3788,21.4614,4500
2010-02-02,21.5192,21.7176,21.4449,21.7010,487900
2010-02-03,21.6267,21.6928,21.5771,21.6928,18200
2010-02-04,21.3126,21.3126,21.1556,21.1556,13200
2010-02-05,21.1143,21.1308,20.8747,20.9325,17400
2010-02-08,21.1143,21.1143,21.1143,21.1143,200
2010-02-09,21.2052,21.3540,21.1143,21.3540,12800
2010-02-10,21.2796,21.3126,21.1060,21.3126,900
2010-02-11,21.2300,21.3953,21.2300,21.3953,200
2010-02-12,21.2383,21.2383,21.2383,21.2383,200
2010-02-16,21.6184,21.7424,21.5853,21.6928,3900
2010-02-17,21.8085,21.8167,21.7424,21.8167,900
2010-02-18,21.8911,21.9820,21.8911,21.9820,6900
2010-02-19,21.9407,22.0068,21.8663,22.0068,11800
2010-02-22,22.0068,22.0068,22.0068,22.0068,0
2010-02-23,21.8994,21.8994,21.6845,21.7093,3400
2010-02-24,21.8415,21.8415,21.7754,21.8415,2400
2010-02-25,21.5854,21.7176,21.5854,21.7176,2700
2010-02-26,21.8746,21.8994,21.8663,21.8663,1100
2010-03-01,22.0399,22.0399,22.0233,22.0233,600
2010-03-02,22.0895,22.1060,22.0895,22.1060,200
2010-03-03,22.1142,22.1390,22.1142,22.1142,900
2010-03-04,22.1721,22.1721,22.1721,22.1721,300
2010-03-05,22.3539,22.3539,22.3456,22.3456,700
2010-03-08,22.4035,22.4448,22.4035,22.4448,500
2010-03-09,22.4944,22.5522,22.4696,22.4696,13400
2010-03-10,22.4779,22.5192,22.4779,22.5192,900
2010-03-11,22.5192,22.5853,22.4696,22.5853,59200
2010-03-12,22.7010,22.7010,22.6266,22.6266,1900
2010-03-15,22.6431,22.6431,22.5605,22.6431,700
