date,o,h,l,c,v
2007-03-30,15.1111,15.1201,15.1081,15.1081,2000
2007-04-02,15.1262,15.1533,15.1262,15.1412,11700
2007-04-03,15.1412,15.1774,15.1412,15.1774,4800
2007-04-04,15.1713,15.1774,15.1352,15.1352,7200
2007-04-05,15.1533,15.1653,15.1472,15.1563,7000
2007-04-09,15.1713,15.1774,15.1382,15.1683,7200
2007-04-10,15.1774,15.1924,15.1563,15.1804,8400
2007-04-11,15.1894,15.1894,15.1382,15.1533,8100
2007-04-12,15.1593,15.1593,15.1382,15.1442,4200
2007-04-13,15.1382,15.1503,15.0659,15.1412,6900
2007-04-16,15.1563,15.1653,15.0990,15.1352,18400
2007-04-17,15.1472,15.1563,15.1261,15.1503,20300
2007-04-18,15.1472,15.1533,15.1382,15.1472,9200
2007-04-19,15.1533,15.1533,15.1081,15.1141,13900
2007-04-20,15.1412,15.1503,15.1261,15.1503,4800
2007-04-23,15.1473,15.1683,15.0659,15.1382,12400
2007-04-24,15.1593,15.1623,15.1382,15.1472,20100
2007-04-25,15.1412,15.1714,15.1111,15.1382,29300
2007-04-26,15.1352,15.1442,15.1262,15.1412,13400
2007-04-27,15.1744,15.1744,15.1442,15.1593,7700
2007-04-30,15.1683,15.1774,15.1623,15.1623,7400
2007-05-01,15.1699,15.1699,15.1396,15.1547,13400
2007-05-02,15.1638,15.1941,15.1638,15.1941,11800
2007-05-03,15.2153,15.2153,15.1941,15.2062,19600
2007-05-04,15.2123,15.2123,15.2002,15.2032,32900
2007-05-07,15.2184,15.2244,15.2032,15.2123,55400
2007-05-08,15.2335,15.2365,15.2062,15.2335,24400
2007-05-09,15.2578,15.2578,15.2244,15.2244,21100
2007-05-10,15.2426,15.2426,15.2062,15.2062,10200
2007-05-11,15.2426,15.2669,15.2426,15.2638,5500
2007-05-14,15.3184,15.3184,15.2972,15.2972,14200
2007-05-15,15.3063,15.3244,15.2881,15.2911,9400
2007-05-16,15.2881,15.2911,15.2275,15.2517,13100
2007-05-17,15.2275,15.2335,15.2093,15.2244,10700
2007-05-18,15.2153,15.2214,15.1941,15.2093,20300
2007-05-21,15.1881,15.2214,15.1881,15.2214,9800
2007-05-22,15.2153,15.3062,15.2123,15.2426,20500
2007-05-23,15.2426,15.2669,15.2365,15.2426,5500
2007-05-24,15.2244,15.2305,15.1850,15.2184,15100
2007-05-25,15.1820,15.2093,15.1638,15.1911,12400
2007-05-29,15.2032,15.2214,15.1941,15.1941,4500
2007-05-30,15.2093,15.2426,15.2093,15.2335,7600
2007-05-31,15.2396,15.2608,15.2214,15.2547,15200
