date,o,h,l,c,v
1999-03-10,43.0797,43.1061,42.3688,43.0271,5232000
1999-03-11,43.3430,43.5932,42.3951,43.2377,9688600
1999-03-12,43.0797,43.1061,41.8421,42.1844,8743600
1999-03-15,42.5004,43.4484,42.0528,43.3957,6369000
1999-03-16,43.5800,43.9487,43.1060,43.7644,4905800
1999-03-17,43.7644,43.8170,43.3167,43.4484,3965000
1999-03-18,43.3957,44.3173,43.3825,44.2910,4848400
1999-03-19,44.8703,44.8703,43.1324,43.1587,7160400
1999-03-22,43.3430,43.4484,42.5531,42.6320,5024800
1999-03-23,42.3951,42.5531,41.0521,41.1311,10962400
1999-03-24,41.4998,42.5531,40.8678,42.5267,8447000
1999-03-25,43.1850,44.0803,42.9020,44.0803,8133800
1999-03-26,43.7117,44.2120,43.4220,43.6064,8256200
1999-03-29,44.1330,45.2126,43.8697,45.1863,5113800
1999-03-30,45.1337,45.5023,44.6860,44.8703,4940600
1999-03-31,45.6076,45.6603,44.0803,44.2120,8256600
1999-04-01,45.5023,45.5550,44.3963,45.1336,8715800
1999-04-05,45.8643,46.8321,45.5813,46.7662,5697200
1999-04-06,46.7136,47.3719,46.3186,46.8584,7522400
1999-04-07,47.2929,47.3982,45.3706,46.3713,11923600
1999-04-08,46.2923,46.9637,45.3443,46.7399,7952400
1999-04-09,46.6609,47.1349,46.5293,47.0296,4946800
1999-04-12,45.9236,47.0296,45.8709,46.7136,10934000
1999-04-13,47.0032,47.1086,45.7130,46.0816,9962200
1999-04-14,46.6609,46.7136,44.2449,44.5017,21253800
1999-04-15,44.6597,45.1797,43.0797,45.1073,17650600
1999-04-16,45.0020,45.0020,43.5537,43.7907,17274000
1999-04-19,44.0804,44.4490,41.2957,41.7368,19460600
1999-04-20,41.5524,43.0271,41.1575,42.6847,17413600
1999-04-21,43.0797,44.8176,42.5004,44.7913,10940400
1999-04-22,45.2126,46.1343,44.9164,46.0026,13630600
1999-04-23,45.7656,46.9506,45.2916,46.6082,7064400
1999-04-26,46.9243,48.0302,46.7728,47.6813,5421000
1999-04-27,48.0302,48.2672,46.3515,46.9506,16482800
1999-04-28,46.5556,46.7136,45.1402,45.3443,7676800
1999-04-29,45.1336,45.3970,44.0277,44.9757,19148200
1999-04-30,45.6076,45.8446,43.6590,45.2653,15295200
