date,o,h,l,c,v
2015-10-12,22.2655,22.2655,22.2390,22.2390,200
2015-10-13,22.2390,22.2390,22.2390,22.2390,0
2015-10-14,22.2390,22.2390,22.2390,22.2390,0
2015-10-15,22.2390,22.2390,22.2390,22.2390,0
2015-10-16,22.3803,22.3803,22.3715,22.3715,200
2015-10-19,22.3715,22.3715,22.3715,22.3715,0
2015-10-20,22.3715,22.3715,22.3715,22.3715,0
2015-10-21,22.3715,22.3715,22.3715,22.3715,0
2015-10-22,22.4598,22.5489,22.4598,22.5489,200
2015-10-23,22.5489,22.5489,22.5489,22.5489,0
2015-10-26,22.7776,22.7776,22.7776,22.7776,100
2015-10-27,22.7776,22.7776,22.7776,22.7776,0
2015-10-28,23.2720,23.2720,23.2720,23.2720,1100
2015-10-29,23.2190,23.2190,23.2190,23.2190,2100
2015-10-30,23.1131,23.1131,23.1131,23.1131,100
2015-11-02,23.1131,23.1131,23.1131,23.1131,100
2015-11-03,23.1131,23.1131,23.1131,23.1131,0
2015-11-04,23.1131,23.1131,23.1131,23.1131,0
2015-11-05,23.0424,23.0424,23.0424,23.0424,200
2015-11-06,23.0601,23.0601,23.0601,23.0601,1000
2015-11-09,23.0601,23.0601,23.0601,23.0601,0
2015-11-10,22.9180,22.9180,22.9180,22.9180,500
2015-11-11,22.9180,22.9180,22.9180,22.9180,0
2015-11-12,22.9180,22.9180,22.9180,22.9180,0
2015-11-13,22.4447,22.4447,22.4447,22.4447,200
2015-11-16,22.3361,22.5595,22.3361,22.5595,300
2015-11-17,22.5595,22.5595,22.5595,22.5595,0
2015-11-18,22.5595,22.5595,22.5595,22.5595,0
2015-11-19,22.9780,22.9780,22.9365,22.9365,500
2015-11-20,22.9365,22.9365,22.9365,22.9365,0
2015-11-23,22.9365,22.9365,22.9365,22.9365,0
2015-11-24,22.9541,22.9983,22.9541,22.9983,400
2015-11-25,23.3514,23.3514,23.3514,23.3514,200
2015-11-27,23.3514,23.3514,23.3514,23.3514,0
2015-11-30,23.3514,23.3514,23.3514,23.3514,0
2015-12-01,23.2773,23.2773,23.2720,23.2720,2000
2015-12-02,23.2720,23.2720,23.2720,23.2720,0
2015-12-03,23.2720,23.2720,23.2720,23.2720,0
2015-12-04,23.2720,23.2720,23.2720,23.2720,0
2015-12-07,23.2720,23.2720,23.2720,23.2720,0
2015-12-08,23.2720,23.2720,23.2720,23.2720,0
2015-12-09,23.2720,23.2720,23.2720,23.2720,0
2015-12-10,23.2720,23.2720,23.2720,23.2720,0
2015-12-11,23.2720,23.2720,23.2720,23.2720,0
2015-12-14,23.2720,23.2720,23.2720,23.2720,0
2015-12-15,23.2720,23.2720,23.2720,23.2720,0
2015-12-16,23.2720,23.2720,23.2720,23.2720,0
2015-12-17,23.2720,23.2720,23.2720,23.2720,0
2015-12-18,22.8574,22.8574,22.8574,22.8574,500
2015-12-21,22.8574,22.8574,22.8574,22.8574,0
2015-12-22,22.8574,22.8574,22.8574,22.8574,0
2015-12-23,22.8574,22.8574,22.8574,22.8574,0
2015-12-24,22.8574,22.8574,22.8574,22.8574,0
2015-12-28,22.8574,22.8574,22.8574,22.8574,0
2015-12-29,22.8574,22.8574,22.8574,22.8574,0
2015-12-30,22.8574,22.8574,22.8574,22.8574,0
2015-12-31,22.8574,22.8574,22.8574,22.8574,0
2016-01-04,22.8574,22.8574,22.8574,22.8574,0
2016-01-05,22.8574,22.8574,22.8574,22.8574,0
2016-01-06,22.5827,22.5827,22.5827,22.5827,200
2016-01-07,22.5827,22.5827,22.5827,22.5827,0
2016-01-08,22.5827,22.5827,22.5827,22.5827,0
2016-01-11,22.5827,22.5827,22.5827,22.5827,0
2016-01-12,22.5827,22.5827,22.5827,22.5827,0
2016-01-13,22.5827,22.5827,22.5827,22.5827,0
2016-01-14,21.7588,21.7588,21.7588,21.7588,300
2016-01-15,21.7588,21.7588,21.7588,21.7588,0
2016-01-19,22.0777,22.0777,22.0777,22.0777,400
2016-01-20,22.0777,22.0777,22.0777,22.0777,0
2016-01-21,21.5285,21.5285,21.5285,21.5285,1000
2016-01-22,21.5285,21.5285,21.5285,21.5285,0
2016-01-25,21.5285,21.5285,21.5285,21.5285,0
2016-01-26,21.5285,21.5285,21.5285,21.5285,0
2016-01-27,21.5285,21.5285,21.5285,21.5285,0
2016-01-28,21.5550,21.5550,21.5550,21.5550,800
2016-01-29,21.5284,21.9448,21.5284,21.9448,3300
2016-02-01,21.9448,21.9448,21.9448,21.9448,0
2016-02-02,21.7942,21.7942,21.7056,21.7056,300
2016-02-03,21.7145,21.7145,21.7056,21.7056,600
2016-02-04,21.7056,21.7056,21.7056,21.7056,0
2016-02-05,21.0412,21.0412,21.0412,21.0412,800
2016-02-08,21.0412,21.0412,21.0412,21.0412,0
2016-02-09,21.0412,21.0412,21.0412,21.0412,0
2016-02-10,20.9526,20.9526,20.9526,20.9526,300
2016-02-11,20.9526,20.9526,20.9526,20.9526,0
2016-02-12,20.7754,20.7754,20.7754,20.7754,100
2016-02-16,21.2361,21.2361,21.2361,21.2361,100
2016-02-17,21.2361,21.2361,21.2361,21.2361,0
2016-02-18,21.5373,21.5373,21.5373,21.5373,200
2016-02-19,21.5373,21.5373,21.5373,21.5373,0
2016-02-22,21.9005,21.9005,21.9005,21.9005,1000
2016-02-23,21.9005,21.9005,21.9005,21.9005,0
2016-02-24,21.9005,21.9005,21.9005,21.9005,0
2016-02-25,21.9005,21.9005,21.9005,21.9005,0
2016-02-26,21.9005,21.9005,21.9005,21.9005,100
2016-02-29,21.9005,21.9005,21.9005,21.9005,0
2016-03-01,21.9005,21.9005,21.9005,21.9005,0
2016-03-02,21.9005,21.9005,21.9005,21.9005,0
2016-03-03,21.9005,21.9005,21.9005,21.9005,0
2016-03-04,22.3347,22.3347,22.2815,22.2815,400
2016-03-07,22.2815,22.2815,22.2815,22.2815,0
2016-03-08,22.2815,22.2815,22.2815,22.2815,0
2016-03-09,22.2815,22.2815,22.2815,22.2815,0
2016-03-10,22.2815,22.2815,22.2815,22.2815,0
2016-03-11,22.2815,22.2815,22.2815,22.2815,0
2016-03-14,22.2815,22.2815,22.2815,22.2815,0
2016-03-15,22.2815,22.2815,22.2815,22.2815,0
2016-03-16,22.2815,22.2815,22.2815,22.2815,0
2016-03-17,22.3435,22.4410,22.3435,22.4410,1700
2016-03-18,22.4410,22.4410,22.4410,22.4410,0
2016-03-21,22.4410,22.4410,22.4410,22.4410,0
2016-03-22,22.4410,22.4410,22.4410,22.4410,0
2016-03-23,22.4410,22.4410,22.4410,22.4410,0
2016-03-24,22.4410,22.4410,22.4410,22.4410,0
2016-03-28,22.4410,22.4410,22.4410,22.4410,0
2016-03-29,22.4410,22.4410,22.4410,22.4410,0
2016-03-30,23.0788,23.0788,23.0788,23.0788,200
2016-03-31,23.0788,23.0788,23.0788,23.0788,0
