date,o,h,l,c,v
1998-12-22,5.6839,5.6967,5.6754,5.6967,3800
1998-12-23,5.7352,5.7822,5.7352,5.7566,1400
1998-12-24,5.8250,5.8891,5.7993,5.8891,3000
1998-12-28,5.8805,5.8805,5.8292,5.8378,5000
1998-12-29,5.9446,5.9446,5.9446,5.9446,200
1998-12-30,5.9403,5.9403,5.9275,5.9275,1600
1998-12-31,5.9788,6.0173,5.9788,5.9959,6600
1999-01-04,6.0002,6.0856,5.9232,5.9232,26000
1999-01-05,5.9788,6.0985,5.9788,6.0685,8800
1999-01-06,6.1070,6.1754,6.0771,6.1754,25800
1999-01-07,6.1455,6.3976,6.1070,6.1284,172400
1999-01-08,6.1839,6.3378,6.1839,6.3378,50400
1999-01-11,6.3421,6.3506,6.2908,6.3506,28400
1999-01-12,6.2951,6.3250,6.1754,6.1882,10200
1999-01-13,6.0044,6.1198,6.0044,6.0515,11000
1999-01-14,6.0685,6.0771,5.8976,5.9489,254600
1999-01-15,6.0173,6.0386,5.9873,6.0386,31600
1999-01-19,6.0173,6.0173,5.8848,5.9275,53400
1999-01-20,5.9275,5.9703,5.9019,5.9061,81800
1999-01-21,5.9061,5.9147,5.8506,5.8805,119800
1999-01-22,5.8207,5.8420,5.7566,5.7651,14000
1999-01-25,5.8250,5.8805,5.8036,5.8805,58600
1999-01-26,5.8591,5.8634,5.7950,5.8634,3600
1999-01-27,5.9703,5.9703,5.8164,5.8164,30200
1999-01-28,5.8506,5.8506,5.7438,5.7438,13600
1999-01-29,5.7309,5.7737,5.7309,5.7737,800
1999-02-01,5.8207,5.8805,5.8207,5.8207,5800
1999-02-02,5.7993,5.8463,5.7950,5.8250,5600
1999-02-03,5.8292,5.8506,5.8121,5.8292,2200
1999-02-04,5.8420,6.0215,5.8420,6.0002,13600
1999-02-05,6.0301,6.1369,6.0301,6.0814,88800
1999-02-08,6.0985,6.1156,6.0258,6.0515,44600
1999-02-09,6.0515,6.0515,5.9361,5.9361,28400
1999-02-10,5.9788,5.9788,5.9232,5.9489,9800
1999-02-11,5.9147,5.9703,5.8891,5.8891,20200
1999-02-12,5.8976,5.9147,5.8591,5.8591,5000
1999-02-16,5.9703,5.9703,5.8036,5.8036,12600
1999-02-17,5.7779,5.8591,5.7438,5.7438,10200
1999-02-18,5.7566,5.7950,5.7224,5.7865,62000
1999-02-19,5.8079,5.8420,5.7950,5.8335,16200
1999-02-22,5.8121,5.9489,5.8121,5.9318,20000
1999-02-23,5.9446,5.9489,5.8463,5.8805,10600
1999-02-24,5.9660,5.9660,5.8634,5.8634,5600
1999-02-25,5.8292,5.8634,5.8121,5.8634,13600
1999-02-26,5.8634,5.8634,5.8634,5.8634,1400
1999-03-01,5.8207,5.8250,5.7950,5.7950,4200
1999-03-02,5.8079,5.8634,5.7438,5.7438,95400
1999-03-03,5.8164,5.8164,5.7053,5.7053,7800
1999-03-04,5.7010,5.7779,5.7010,5.7224,5800
1999-03-05,5.7908,5.9147,5.7908,5.9147,8400
1999-03-08,5.8634,5.9532,5.8634,5.9532,13400
1999-03-09,5.9232,5.9232,5.8805,5.9019,11200
1999-03-10,5.9061,6.0087,5.8933,5.9831,53600
1999-03-11,6.0130,6.0771,6.0002,6.0472,27800
1999-03-12,6.0985,6.1156,6.0215,6.0215,15800
1999-03-15,6.0215,6.0600,5.9916,6.0344,13400
1999-03-16,6.0258,6.0429,6.0044,6.0087,15000
1999-03-17,6.0386,6.0386,5.9831,5.9916,7000
1999-03-18,6.0557,6.1198,6.0215,6.1198,22600
1999-03-19,6.2090,6.2090,6.1276,6.1276,10600
1999-03-22,6.1018,6.1661,6.1018,6.1447,49800
1999-03-23,6.1147,6.1147,5.9560,5.9903,33400
1999-03-24,5.9646,6.0375,5.9517,5.9946,152000
1999-03-25,5.9946,6.0718,5.9946,6.0161,7600
1999-03-26,5.9560,6.0118,5.9346,5.9689,8400
1999-03-29,6.0332,6.0975,6.0161,6.0675,10600
1999-03-30,6.0632,6.0632,5.9946,6.0547,33000
1999-03-31,6.0203,6.0504,5.9603,5.9689,21200
1999-04-01,5.9775,6.0847,5.9775,6.0375,24600
1999-04-05,6.0547,6.1533,6.0547,6.1104,23800
1999-04-06,6.0761,6.1104,6.0032,6.0032,105600
1999-04-07,6.0375,6.0890,6.0203,6.0675,90400
1999-04-08,6.0589,6.1533,6.0504,6.1533,24000
1999-04-09,6.0632,6.1619,6.0632,6.1233,50200
1999-04-12,6.1233,6.3162,6.1233,6.3034,32400
1999-04-13,6.3505,6.3934,6.3162,6.3805,136000
1999-04-14,6.4234,6.8394,6.3805,6.6893,601400
1999-04-15,6.7750,7.0966,6.7750,6.9466,2011000
1999-04-16,6.9894,7.1052,6.9637,7.0237,341600
1999-04-19,7.0237,7.3668,7.0237,7.0966,1728400
1999-04-20,7.1138,7.1181,6.9852,7.0109,281600
1999-04-21,7.0580,7.0923,6.9766,7.0409,166400
1999-04-22,7.0495,7.0580,6.8608,6.9294,173800
1999-04-23,6.8951,7.0495,6.8951,7.0323,254800
1999-04-26,7.0666,7.0666,6.9423,6.9637,76200
1999-04-27,6.9466,7.1352,6.9123,7.1009,169000
1999-04-28,7.1352,7.5126,7.1352,7.4783,276400
1999-04-29,7.4954,7.6283,7.4954,7.5340,1467200
1999-04-30,7.5297,7.5812,7.3453,7.4440,1055400
1999-05-03,7.4697,7.6412,7.4440,7.6155,362000
1999-05-04,7.6627,7.6884,7.5169,7.5683,831400
1999-05-05,7.5855,7.6927,7.4997,7.6584,587800
1999-05-06,7.6584,7.7527,7.5983,7.7227,279200
1999-05-07,7.7227,7.7699,7.6198,7.7398,64200
1999-05-10,7.7398,7.8170,7.6712,7.6970,169200
1999-05-11,7.7227,7.7441,7.5983,7.6841,305600
1999-05-12,7.6627,7.6627,7.4225,7.4911,334600
1999-05-13,7.4397,7.5211,7.4182,7.4611,253800
1999-05-14,7.4525,7.5426,7.4225,7.4397,73600
1999-05-17,7.4397,7.4826,7.3582,7.4311,47200
1999-05-18,7.4011,7.4054,7.1910,7.2510,106200
1999-05-19,7.2510,7.3625,7.2296,7.3239,110800
1999-05-20,7.3539,7.3839,7.2296,7.2381,73000
1999-05-21,7.2038,7.2982,7.1867,7.2339,20600
1999-05-24,7.2424,7.3796,7.1695,7.2038,70000
1999-05-25,7.2682,7.3110,7.1352,7.1352,246800
1999-05-26,7.0195,7.1052,6.9980,7.0666,92800
1999-05-27,7.0195,7.0495,6.8608,6.9037,70200
1999-05-28,6.8737,6.9294,6.7665,6.7665,98800
1999-06-01,6.8351,7.1095,6.8222,7.0580,431800
1999-06-02,7.0752,7.0752,6.9637,7.0495,23400
1999-06-03,7.0323,7.1052,7.0023,7.0709,115200
1999-06-04,7.0709,7.2296,7.0323,7.2038,11000
1999-06-07,7.2381,7.2896,7.2038,7.2253,27800
1999-06-08,7.1910,7.2467,7.1095,7.1352,89400
1999-06-09,7.1481,7.2467,7.0666,7.0666,180600
1999-06-10,7.0752,7.1867,7.0752,7.1867,119800
1999-06-11,7.2210,7.2682,7.1224,7.1224,6800
1999-06-14,7.2210,7.3668,7.2210,7.2939,445800
1999-06-15,7.3411,7.4139,7.3110,7.3582,125400
1999-06-16,7.3925,7.3925,7.2724,7.3882,201400
1999-06-17,7.3496,7.4140,7.2982,7.4140,71400
1999-06-18,7.4027,7.4414,7.3812,7.4328,17200
1999-06-21,7.4543,7.4543,7.2521,7.2521,132800
1999-06-22,7.2779,7.2779,7.1403,7.1575,112200
1999-06-23,7.1575,7.2091,7.0973,7.1919,15400
1999-06-24,7.1661,7.1661,7.0284,7.0284,203800
1999-06-25,7.0370,7.1532,7.0370,7.0715,76000
1999-06-28,7.1403,7.2349,7.1403,7.2048,170600
1999-06-29,7.1403,7.1618,7.1102,7.1618,13800
1999-06-30,7.1575,7.2478,7.1145,7.1575,54200
1999-07-01,7.1962,7.2908,7.1489,7.2263,27400
1999-07-02,7.2607,7.3812,7.2607,7.3726,109200
1999-07-06,7.3984,7.3984,7.3037,7.3381,30400
1999-07-07,7.3381,7.3381,7.2779,7.2951,77400
1999-07-08,7.2693,7.3639,7.2263,7.2435,171800
1999-07-09,7.2349,7.4285,7.2349,7.3596,63400
1999-07-12,7.3295,7.3596,7.2951,7.3123,20200
1999-07-13,7.2693,7.3424,7.2693,7.3080,23600
1999-07-14,7.3123,7.3812,7.2650,7.2693,36400
1999-07-15,7.2564,7.2951,7.1575,7.1575,139400
1999-07-16,7.2220,7.2478,7.1876,7.2220,21000
1999-07-19,7.2392,7.2392,7.0801,7.1532,19800
1999-07-20,7.1145,7.1919,7.1059,7.1403,27200
1999-07-21,7.2220,7.2263,7.1231,7.1231,16600
1999-07-22,7.1360,7.2220,7.1317,7.1575,436400
1999-07-23,7.2306,7.2306,7.1188,7.1575,29000
1999-07-26,7.0887,7.1489,7.0672,7.0672,35800
1999-07-27,7.1532,7.1661,7.0930,7.1661,461800
1999-07-28,7.1618,7.2134,7.1575,7.2048,25400
1999-07-29,7.1231,7.1403,7.0155,7.0715,27000
1999-07-30,7.0370,7.0930,7.0241,7.0758,17200
1999-08-02,7.0284,7.1231,7.0284,7.0973,13600
1999-08-03,7.1188,7.1833,7.0930,7.0930,44000
1999-08-04,7.1790,7.2865,7.1790,7.2650,246000
1999-08-05,7.2736,7.3209,7.1704,7.3166,19600
1999-08-06,7.2994,7.2994,7.1747,7.2091,35800
1999-08-09,7.1489,7.2349,7.1403,7.1403,15000
1999-08-10,7.1102,7.1274,7.0844,7.1145,28400
1999-08-11,7.1489,7.3424,7.1016,7.2951,69800
1999-08-12,7.3037,7.4156,7.3037,7.3596,269400
1999-08-13,7.2865,7.3726,7.2865,7.3554,23200
1999-08-16,7.3295,7.3295,7.2478,7.2478,85800
1999-08-17,7.2994,7.3381,7.2478,7.3381,18600
1999-08-18,7.2478,7.3295,7.2134,7.2134,60000
1999-08-19,7.1919,7.2865,7.1489,7.2736,31200
1999-08-20,7.3252,7.3984,7.3252,7.3381,3200
1999-08-23,7.3209,7.3812,7.3037,7.3467,78600
1999-08-24,7.3209,7.3639,7.2779,7.3166,41600
1999-08-25,7.3639,7.3639,7.1102,7.1403,51000
1999-08-26,7.1274,7.1274,7.0456,7.0586,36000
1999-08-27,7.1016,7.1016,7.0026,7.0629,82600
1999-08-30,7.0629,7.0629,6.9037,6.9252,14800
1999-08-31,6.8478,7.0327,6.7575,6.7575,13400
1999-09-01,6.7575,6.8650,6.7575,6.8478,65600
