date,o,h,l,c,v
2018-06-19,45.9637,46.2966,45.8527,46.2041,16600
2018-06-20,46.6573,47.0633,46.6573,46.7775,190000
2018-06-21,46.9532,47.0272,46.4261,46.4908,428700
2018-06-22,46.7868,46.8052,46.4168,46.6943,181500
2018-06-25,46.4538,46.4538,45.3301,45.7324,2509600
2018-06-26,45.9822,46.0376,45.6400,45.8083,104000
2018-06-27,46.0746,46.2411,45.4088,45.4088,144900
2018-06-28,45.4088,46.0469,45.2885,45.8619,336500
2018-06-29,46.0561,46.0931,45.7047,45.8064,152300
2018-07-02,45.4180,46.0931,45.2608,46.0931,321300
2018-07-03,46.2411,46.2411,45.4911,45.5290,97500
2018-07-05,45.8619,46.2411,45.6215,46.2226,324900
2018-07-06,46.3706,46.9958,46.1764,46.9532,199800
2018-07-09,47.3509,47.3509,46.8422,47.2214,118100
2018-07-10,47.3601,47.3601,47.0457,47.2020,1153200
2018-07-11,46.8885,47.3786,46.8422,47.1382,227500
2018-07-12,47.4434,47.8780,47.2954,47.8780,361400
2018-07-13,47.8873,47.9058,47.5812,47.8041,80100
2018-07-16,47.8873,47.8873,47.5821,47.6653,200700
2018-07-17,46.9902,47.7948,46.9070,47.6746,172600
2018-07-18,47.7116,47.7208,47.3786,47.5359,147800
2018-07-19,47.5636,47.6006,47.1715,47.2029,258400
2018-07-20,47.2122,47.3379,47.0180,47.0457,158400
2018-07-23,47.1012,47.2584,46.8422,47.2399,94800
2018-07-24,48.1925,48.1925,47.3139,47.5728,211200
2018-07-25,47.6561,47.9751,47.5174,47.9150,604300
2018-07-26,46.0099,46.2596,45.8434,46.1079,833400
2018-07-27,46.0284,46.0839,44.9815,45.2330,1111200
2018-07-30,45.3348,45.3348,44.2703,44.5209,251300
2018-07-31,44.7336,45.1036,44.5209,44.8169,1211400
2018-08-01,44.9094,45.1119,44.5015,44.6319,1250400
2018-08-02,44.4747,45.0018,44.2990,44.9279,190700
2018-08-03,44.4747,45.2515,44.4747,45.2330,117200
2018-08-06,45.2330,45.6955,45.1498,45.6862,110200
2018-08-07,45.9452,46.0552,45.7047,45.7417,128800
2018-08-08,45.8249,45.8712,45.6474,45.7047,114200
2018-08-09,45.7417,46.1348,45.7417,45.9544,306400
2018-08-10,45.8064,45.8064,45.4550,45.5660,177600
2018-08-13,45.6215,45.8804,45.4735,45.5012,261000
2018-08-14,45.7232,45.8989,45.4180,45.8249,189800
2018-08-15,45.5382,45.5937,44.8446,45.1868,555100
2018-08-16,45.4920,45.5336,45.0943,45.1683,177600
2018-08-17,45.0018,45.1406,44.7614,44.9556,226900
2018-08-20,45.1775,45.1775,44.7346,45.0296,145800
2018-08-21,45.2701,45.5290,45.1406,45.3070,384900
2018-08-22,45.1776,45.3440,45.0851,45.2515,501900
2018-08-23,45.2053,45.4735,45.0573,45.0666,283700
2018-08-24,45.2793,45.7232,45.2053,45.7232,330900
2018-08-27,46.0099,46.2587,45.9276,46.1671,299200
2018-08-28,46.2966,46.2966,45.8998,45.9636,150200
2018-08-29,46.0839,46.2596,45.9359,46.2226,270900
2018-08-30,46.0654,46.2735,45.7602,45.9359,344400
2018-08-31,45.8897,45.8897,45.3551,45.4828,235000
2018-09-04,45.3625,45.3625,44.7614,44.9186,343700
2018-09-05,44.8724,44.8724,44.1695,44.3360,773600
2018-09-06,44.3082,44.3730,43.6239,44.0030,599600
2018-09-07,43.7256,44.3452,43.6793,44.0955,755700
2018-09-10,44.3730,44.3730,43.9836,44.1880,310900
2018-09-11,44.1325,44.7244,44.0770,44.6319,615700
2018-09-12,44.5117,44.6227,44.2527,44.5024,713300
2018-09-13,44.6781,44.8724,44.5857,44.8169,754500
2018-09-14,44.9833,44.9833,44.6227,44.7336,1190800
2018-09-17,44.7799,44.7799,44.2620,44.2990,810800
2018-09-18,44.3452,44.7706,44.2990,44.6134,430100
2018-09-19,44.6597,44.7799,44.3822,44.7336,2385200
2018-09-20,45.1036,45.2700,44.8724,45.2238,4554200
2018-09-21,45.4575,45.4760,44.9011,45.0216,7974600
2018-09-24,44.7064,45.0866,44.5209,45.0216,6769400
2018-09-25,45.0124,45.1144,44.7434,45.0402,3994500
2018-09-26,45.1144,45.6708,45.0680,45.2164,5688600
2018-09-27,45.4946,45.9304,45.3369,45.6059,3649400
2018-09-28,45.5039,45.5502,45.2516,45.4389,2306600
2018-10-01,45.5966,45.6429,45.0402,45.2535,7636900
2018-10-02,45.2256,45.4046,45.0495,45.2164,5823500
2018-10-03,45.4668,45.6151,45.2998,45.4204,5146200
2018-10-04,45.3740,45.3740,44.3910,44.7713,5292200
2018-10-05,44.8362,45.0031,44.0294,44.3447,2648400
2018-10-08,44.1407,44.3540,43.5936,44.1963,2170000
2018-10-09,44.1963,44.6229,44.1129,44.1685,1991400
2018-10-10,44.0758,44.0850,42.3880,42.4251,4050700
2018-10-11,42.3417,42.9073,41.6647,42.0635,8840700
2018-10-12,43.0650,43.1206,42.2768,43.0001,5877600
2018-10-15,42.8517,43.2875,42.6570,42.8331,1576900
2018-10-16,43.2968,44.0526,43.2226,43.9645,3707300
2018-10-17,44.2705,44.2705,43.6863,44.1407,4571000
2018-10-18,44.0387,44.0387,43.0066,43.3339,21297200
2018-10-19,43.5843,43.9645,43.1577,43.3246,3544400
2018-10-22,43.5750,43.6956,43.1299,43.2968,2711700
2018-10-23,42.6848,43.3896,42.3213,43.2041,2779600
2018-10-24,43.1948,43.1948,41.0991,41.1454,3552300
2018-10-25,41.8873,42.7961,41.8873,42.5086,3391700
2018-10-26,41.2011,42.2860,40.8394,41.3587,5229100
2018-10-29,42.0078,42.2860,39.9399,40.7188,3491000
2018-10-30,40.6539,41.8873,40.4916,41.8316,6283600
2018-10-31,42.6477,43.1670,42.4622,42.6941,3577200
2018-11-01,42.8331,43.0372,42.4159,42.9444,2550000
2018-11-02,43.0743,43.3506,42.2304,42.5086,2628600
2018-11-05,42.5921,42.5921,42.0264,42.3324,2439500
2018-11-06,42.3788,42.8239,42.2582,42.5828,2040300
2018-11-07,43.0186,43.3896,42.8146,43.3617,2705800
2018-11-08,43.3895,43.3895,42.7033,42.9537,1295700
2018-11-09,42.4159,42.5735,41.7389,42.0728,2234500
2018-11-12,42.0264,42.0728,41.2660,41.4422,1203700
2018-11-13,41.6276,41.9986,41.2289,41.3123,2186100
2018-11-14,41.7574,41.8687,41.1825,41.5163,2137500
2018-11-15,41.3216,41.8966,40.9284,41.8224,3864100
2018-11-16,41.5813,41.7760,41.2196,41.6184,2092100
2018-11-19,41.4793,41.5071,40.2366,40.3572,2358000
2018-11-20,39.6339,40.2645,39.3000,39.8286,5028200
2018-11-21,40.2366,40.6725,40.1717,40.3016,3187400
2018-11-23,40.0512,40.1810,39.7730,39.7730,667100
2018-11-26,40.2366,40.6910,40.1346,40.6818,2563700
2018-11-27,40.5426,40.9414,40.3664,40.8116,2114400
2018-11-28,41.0249,41.6647,40.5519,41.6647,2707400
2018-11-29,41.4422,42.0125,41.2984,41.8038,2247700
2018-11-30,41.8780,41.8780,41.3958,41.7389,5563500
2018-12-03,42.6384,42.6384,41.6369,41.8038,5790400
2018-12-04,41.7296,41.9707,40.4777,40.5705,3268000
2018-12-06,39.9677,41.0249,39.8472,41.0249,3560400
2018-12-07,40.8858,41.2196,40.0697,40.2459,2625800
2018-12-10,40.3572,40.7467,39.7888,40.5519,3379500
2018-12-11,41.0434,41.1361,40.3665,40.5890,4425900
2018-12-12,40.9692,41.5720,40.9692,41.0249,3352600
2018-12-13,41.1547,41.3031,40.5797,40.8394,1984100
2018-12-14,40.4221,40.9321,40.3572,40.4407,1910800
2018-12-17,40.2923,40.6539,39.3557,39.6524,3275000
2018-12-18,39.8657,40.2645,39.5968,39.8286,3597400
2018-12-19,39.7730,40.4036,38.7529,38.9755,5714100
2018-12-20,38.7437,39.1424,37.8043,38.2893,9067000
2018-12-21,38.3860,38.7116,36.7486,37.0370,7987400
2018-12-24,36.7765,37.3626,36.2555,36.2555,3888500
2018-12-26,36.5346,38.3116,36.3216,38.2930,4104000
2018-12-27,37.7627,38.4697,36.9812,38.4697,3768600
2018-12-28,38.6186,38.9256,38.1069,38.3488,2631900
2018-12-31,38.6465,38.7768,37.9208,38.4046,5303600
2019-01-02,37.7720,39.1070,37.6976,38.9163,4625800
2019-01-03,38.6651,38.9628,38.1999,38.2651,3433700
2019-01-04,38.8977,40.0141,38.7675,39.9118,2647900
2019-01-07,39.9583,40.5351,39.8281,40.3677,4048400
2019-01-08,40.7584,41.1026,40.4607,41.0468,2144800
2019-01-09,41.1771,41.2050,40.7398,41.1026,1840800
2019-01-10,40.9259,41.2422,40.6188,41.1864,1340500
2019-01-11,40.9258,41.0468,40.6188,40.9817,1227900
2019-01-14,40.7119,40.9928,40.5165,40.8328,2344900
2019-01-15,41.0375,41.6050,40.9631,41.5120,2459700
2019-01-16,41.5585,41.6608,41.2794,41.3352,20343800
2019-01-17,41.2422,41.6143,41.1119,41.5027,3311000
2019-01-18,41.8097,42.1214,41.6422,41.8376,3375800
2019-01-22,41.5492,41.6050,40.7119,40.9724,4343200
2019-01-23,41.2050,41.2794,40.4142,40.7863,2540500
2019-01-24,40.7677,41.0189,40.5537,40.9724,2878700
2019-01-25,41.3352,41.6236,41.2608,41.4934,3341100
2019-01-28,41.1026,41.1863,40.7686,41.1305,4328200
2019-01-29,41.1026,41.1119,40.5165,40.6467,1138100
2019-01-30,40.8886,41.3110,40.4793,41.2329,2578000
2019-01-31,42.3307,43.0936,42.2469,42.9168,4798700
2019-02-01,42.8238,43.1308,42.7121,42.7679,4395100
2019-02-04,42.8051,43.1680,42.6656,43.1680,3703100
2019-02-05,43.1308,43.6797,43.1029,43.6425,2388600
2019-02-06,43.2889,43.2889,42.5726,42.6656,3748900
2019-02-07,42.2842,42.4135,41.8004,42.2562,2341500
2019-02-08,41.9585,42.5447,41.9213,42.5447,2600400
2019-02-11,42.7214,42.8145,42.0795,42.1074,2061100
2019-02-12,42.5074,42.7400,42.4888,42.5912,2442900
2019-02-13,42.7679,42.9540,42.5819,42.6191,3620700
2019-02-14,42.3958,42.9708,42.2190,42.7772,2103300
2019-02-15,43.0749,43.0749,42.7400,42.9633,2283500
2019-02-19,42.8424,43.1680,42.7772,43.0098,4218800
2019-02-20,43.0563,43.1494,42.6284,42.8610,3566300
2019-02-21,42.7586,42.7847,42.3028,42.4609,2631200
2019-02-22,42.6377,42.8796,42.5354,42.8610,4005400
2019-02-25,43.1122,43.1726,42.8703,42.9075,2410800
2019-02-26,42.7772,43.1066,42.6563,42.9075,4704600
2019-02-27,42.7121,42.8703,42.3865,42.6935,4009800
2019-02-28,42.6563,42.8610,42.6191,42.7214,2374200
2019-03-01,43.0005,43.0750,42.8052,43.0564,7114200
2019-03-04,43.2703,43.3820,42.5586,43.1122,2906600
2019-03-05,43.1215,43.5029,42.9075,43.3820,2805900
2019-03-06,43.4564,43.5476,43.2331,43.3634,6131600
2019-03-07,43.3075,43.3075,42.7679,42.9819,3377700
2019-03-08,42.5168,42.9819,42.3865,42.9540,2566500
2019-03-11,43.0656,43.7355,43.0656,43.7262,3594000
2019-03-12,43.8099,44.0518,43.7913,43.9216,8112500
2019-03-13,44.0797,44.2193,43.9123,44.0518,3486900
2019-03-14,43.9123,44.0053,43.7262,43.8564,3539800
2019-03-15,43.9152,43.9524,43.5768,43.8220,6868900
2019-03-18,43.6356,43.6822,43.3513,43.4492,2807200
2019-03-19,43.6169,43.8686,43.3513,43.5237,3570800
2019-03-20,43.5237,44.0456,43.3653,43.9152,7390700
2019-03-21,43.7754,44.5275,43.7381,44.4930,3183200
2019-03-22,44.2880,44.4716,43.6449,43.7754,5174600
2019-03-25,43.6542,43.9152,43.4212,43.7008,2408500
2019-03-26,43.9245,44.3066,43.7194,43.9152,2488600
2019-03-27,43.9711,44.0643,43.3653,43.5983,2465700
2019-03-28,43.5610,43.6169,43.2814,43.4958,1891100
2019-03-29,43.7288,43.7660,43.2441,43.5890,2542900
2019-04-01,43.9245,44.2880,43.9245,44.2507,4249700
2019-04-02,44.3811,44.5489,44.2292,44.4837,3323300
2019-04-03,44.6887,45.0429,44.5582,44.6514,2303600
2019-04-04,44.8378,45.0606,44.6794,44.9031,2788100
2019-04-05,45.0615,45.0708,44.8937,45.0335,2379700
2019-04-08,44.9776,44.9963,44.7260,44.9497,2340500
2019-04-09,44.8471,45.1454,44.8378,45.0708,4872800
2019-04-10,45.1733,45.2945,45.0149,45.2665,2265200
2019-04-11,45.3504,45.4063,45.2153,45.2945,2115300
2019-04-12,45.6393,45.7232,45.4762,45.6859,4894100
2019-04-15,45.6952,45.7279,45.3784,45.6487,2345700
2019-04-16,45.7791,45.8257,45.5182,45.6953,2157000
2019-04-17,45.8723,45.8956,45.6766,45.7791,2826000
2019-04-18,45.9003,45.9003,45.6766,45.8071,1755100
2019-04-22,45.7139,46.0121,45.6692,46.0121,2126800
2019-04-23,46.2544,46.7391,46.1426,46.6272,3929800
2019-04-24,46.6366,46.6459,46.3383,46.4129,3311500
2019-04-25,47.2144,47.2237,46.7857,46.9348,3064600
2019-04-26,47.0559,47.3262,46.8136,47.3076,2076600
2019-04-29,47.4101,47.8481,47.4101,47.7363,1340700
2019-04-30,46.8602,46.9907,46.4921,46.6645,3197100
2019-05-01,46.8602,46.9488,46.4175,46.4222,4262700
2019-05-02,46.4595,46.5713,45.8444,46.2358,4680800
2019-05-03,46.4781,46.7111,46.3057,46.6831,2050400
2019-05-06,45.9189,46.6832,45.9096,46.6086,3159800
2019-05-07,46.3383,46.4408,45.4902,45.8537,4342100
2019-05-08,45.8723,46.0494,45.7325,45.7791,3453500
2019-05-09,45.4157,45.8071,45.1640,45.6393,4241500
2019-05-10,45.5461,45.9357,44.8937,45.7698,2900500
2019-05-13,44.8471,45.1267,44.2227,44.3532,8211000
2019-05-14,44.6141,44.9963,44.3066,44.6048,5332000
2019-05-15,44.3718,45.7418,44.3718,45.6020,7292700
2019-05-16,45.6300,46.2358,45.5573,46.0028,4627100
2019-05-17,45.6114,46.1426,45.5554,45.6673,3662800
2019-05-20,45.2013,45.2758,44.7912,44.9124,3854100
2019-05-21,45.2759,45.4902,45.0895,45.4063,3023900
2019-05-22,45.2665,45.6580,45.2665,45.3597,2793700
2019-05-23,44.9031,45.0335,44.4650,44.7260,2570200
2019-05-24,44.9869,45.1267,44.6887,44.7167,3442300
2019-05-28,44.9031,45.3038,44.8658,44.9124,2793400
2019-05-29,44.7260,44.7819,44.2740,44.4744,2512500
2019-05-30,44.5676,44.7046,44.3439,44.5769,2520600
2019-05-31,44.0549,44.1631,43.8219,43.8872,2484800
2019-06-03,43.4585,43.4585,42.2283,42.5079,7155200
2019-06-04,42.8620,43.4212,42.5638,43.4212,7110700
2019-06-05,43.5424,43.5424,43.0298,43.4398,5526400
2019-06-06,43.5237,43.7008,43.2898,43.6262,3175900
2019-06-07,43.8126,44.4837,43.7754,44.3345,3345600
2019-06-10,44.6141,44.7726,44.2320,44.2973,5163000
2019-06-11,44.7819,44.8937,44.4296,44.4837,2869800
2019-06-12,44.4650,44.6421,44.1062,44.2693,2459400
2019-06-13,44.4091,44.7819,44.3066,44.7633,6500400
2019-06-14,44.8378,44.9776,44.6794,44.8471,2734900
2019-06-17,45.0149,45.4716,44.9776,45.3597,4248700
2019-06-18,45.9748,46.1985,45.5461,45.6114,3843500
2019-06-19,45.6114,45.7325,45.2945,45.6673,3319400
2019-06-20,46.2358,46.2582,45.6300,45.9562,3340000
2019-06-21,45.8796,46.2253,45.8329,46.1505,10006600
2019-06-24,46.2346,46.3560,46.0758,46.2626,5236900
2019-06-25,46.2439,46.2439,45.3144,45.4031,2431900
2019-06-26,45.5433,45.7395,45.1416,45.2257,2380900
2019-06-27,45.5339,45.6274,45.3284,45.5433,1984700
2019-06-28,45.6647,46.0197,45.5153,45.9824,6084800
2019-07-01,46.4962,46.6083,46.1785,46.3560,2851800
2019-07-02,46.3747,46.8138,46.3747,46.7858,2336600
2019-07-03,46.9072,47.1408,46.8138,47.0287,1260700
2019-07-05,46.8886,47.1595,46.5803,47.0941,3006100
2019-07-08,46.9072,46.9119,46.5616,46.6737,1152800
2019-07-09,46.5055,47.0380,46.4401,46.9633,1714900
2019-07-10,47.2716,47.5472,47.0847,47.4958,2294400
2019-07-11,47.5986,47.7107,47.3277,47.5238,5463100
2019-07-12,47.5145,47.8788,47.4398,47.8695,2621800
2019-07-15,47.8975,47.9349,47.6173,47.8788,4075900
2019-07-16,47.9069,47.9723,47.6826,47.7667,2540800
2019-07-17,47.7854,47.8508,47.3183,47.3183,4760700
2019-07-18,46.8792,47.0100,46.5662,46.9353,1813800
2019-07-19,47.1315,47.1315,46.2907,46.3280,1979600
2019-07-22,46.4682,46.5242,46.2019,46.5055,2391500
2019-07-23,46.6550,46.6924,46.2439,46.6830,2624700
2019-07-24,46.3374,47.1408,46.3000,47.0941,1840700
