date,o,h,l,c,v
1998-12-22,5.748187988204353,5.76745182307307,5.717366604889584,5.736630439758301,30400
1998-12-23,5.7558919862697,5.8560614585876465,5.748186642245242,5.8560614585876465,135600
1998-12-24,5.871471238514734,5.871471238514734,5.817533838685858,5.825239181518555,24600
1998-12-28,5.856062047024991,5.856062047024991,5.755892564641668,5.794419288635254,27000
1998-12-29,5.809829229954976,5.852209091186523,5.755891823310831,5.852209091186523,44000
1998-12-30,5.848358210395364,5.848358210395364,5.759747192656116,5.763599395751953,43600
1998-12-31,5.755894184112549,5.755894184112549,5.725072796245815,5.755894184112549,26000
1999-01-04,5.740482374536381,5.856062556574026,5.740482374536381,5.752040863037109,57200
1999-01-05,5.786714988798714,5.786714988798714,5.713514670289347,5.721220016479492,85400
1999-01-06,5.786717123904471,5.917708057468221,5.748190378738662,5.910002708435059,112800
1999-01-07,5.909999126391927,5.913852268870306,5.813682792151798,5.883030891418457,145200
1999-01-08,5.917708057468221,6.056404340065132,5.763601076804986,5.910002708435059,842200
1999-01-11,5.856063671950945,5.863769018887723,5.77901020258317,5.798274040222168,70000
1999-01-12,5.794417871637383,5.817533900380617,5.701953756664446,5.709659099578857,178400
1999-01-13,5.609489179637334,5.717363971553437,5.59407849507789,5.624899864196777,84800
1999-01-14,5.609491524083655,5.640312906084114,5.517027378082275,5.517027378082275,140000
1999-01-15,5.563258462299835,5.60949052708349,5.536290228139586,5.601785182952881,21400
1999-01-19,5.624901215344709,5.624901215344709,5.555553118169225,5.601785182952881,25600
1999-01-20,5.570962212783454,5.624899606268218,5.551699328264215,5.555551528930664,31600
1999-01-21,5.555553118169225,5.648017247736536,5.547847774038616,5.601785182952881,47800
1999-01-22,5.609492981252498,5.62490367625594,5.563260896242176,5.5709662437438965,38600
1999-01-25,5.594080025469498,5.594080025469498,5.517026581592507,5.563258647918701,36400
1999-01-26,5.570964449769134,5.570964449769134,5.4630896194831475,5.509321689605713,51400
1999-01-27,5.517028316812977,5.517028316812977,5.393742767833916,5.409153461456299,74200
1999-01-28,5.424561333861256,5.424561333861256,5.332097220215893,5.378329277038574,61600
1999-01-29,5.347507905823453,5.378329277038574,5.285865163393212,5.378329277038574,37200
1999-02-01,5.378329241155026,5.393739926659768,5.324391841888428,5.324391841888428,46200
1999-02-02,5.332098007202148,5.37833007084841,5.308981975379018,5.332098007202148,53000
1999-02-03,5.36292198957023,5.486207552548856,5.36292198957023,5.455386161804199,58800
1999-02-04,5.455382775724604,5.501614833145999,5.439972089917473,5.486204147338867,52000
1999-02-05,5.501615063088839,5.655721927601132,5.4707936901863805,5.640311241149902,132000
1999-02-08,5.663429273749298,5.717366695404053,5.655723927798618,5.717366695404053,62200
1999-02-09,5.725071527145721,5.725071527145721,5.609491348266602,5.609491348266602,128600
1999-02-10,5.632605206476499,5.6865426024345505,5.59407849507789,5.624899864196777,138600
1999-02-11,5.601789412577508,5.601789412577508,5.4939145132981615,5.578673362731934,433600
1999-02-12,5.517025435088552,5.578668177380044,5.463088035583496,5.463088035583496,484600
1999-02-16,5.5054690406701745,5.5324372757564895,5.3706250434572045,5.424562454223633,73200
1999-02-17,5.393741052154147,5.447678462675689,5.362919674713266,5.370625019073486,83400
1999-02-18,5.362919885201515,5.4168572978400364,5.308982472562994,5.386035919189453,166000
1999-02-19,5.409154417188906,5.416859765361539,5.308984890944666,5.355216979980469,260600
1999-02-22,5.393742767833916,5.424564155078682,5.347510686966769,5.409153461456299,159000
1999-02-23,5.424563528477461,5.447679566240859,5.362920761108398,5.362920761108398,619200
1999-02-24,5.378330417869755,5.447678517813634,5.339803695678711,5.339803695678711,69000
1999-02-25,5.335952697478099,5.4014476696807865,5.332099554092874,5.366774082183838,89200
1999-02-26,5.386035414789453,5.424562134494671,5.332098007202148,5.332098007202148,49800
1999-03-01,5.343655982751562,5.347508184057083,5.262749408805457,5.278160095214844,26600
1999-03-02,5.285864440389087,5.308980465638602,5.201105681140866,5.224221706390381,110200
1999-03-03,5.270455595734832,5.3629197289933375,5.231928873543787,5.339803695678711,206600
1999-03-04,5.386035779724546,5.563258702376427,5.386035779724546,5.532437324523926,180800
1999-03-05,5.671133406486513,5.678838750788805,5.578669274859016,5.636459827423096,185400
1999-03-08,5.667282417021632,5.732777387305411,5.644166379169593,5.717366695404053,215200
1999-03-09,5.655723571777344,5.748187717364984,5.6326075353804335,5.655723571777344,158000
1999-03-10,5.6788401572974685,5.994759351936812,5.6788401572974685,5.979348659515381,3467600
1999-03-11,6.164276917977436,6.2259196871572104,5.979348610438113,6.064107418060303,1818000
1999-03-12,6.133453038274025,6.179685096351467,5.979346178015883,6.040988922119141,1208600
1999-03-15,6.056401367972013,6.071812058475759,5.921558296361191,5.994758605957031,1046000
1999-03-16,5.940820296605428,5.994757705264621,5.917704264322916,5.9639363288879395,546600
1999-03-17,5.994760716291759,6.125751631686309,5.979350020362988,6.118046283721924,725600
1999-03-18,6.225916909934276,6.241327595354906,6.148863482831129,6.195095539093018,665200
1999-03-19,6.248298885542688,6.2560319287178645,6.093638022039156,6.132303237915039,520800
1999-03-22,6.18643509714227,6.217367272627981,6.120704696222674,6.170969009399414,330000
1999-03-23,6.124572749040565,6.124572749040565,6.000844006635705,6.062708377838135,275800
1999-03-24,6.093640320117657,6.116839458392216,5.977644628744859,6.031775951385498,122200
1999-03-25,6.016309505228496,6.07817387032082,5.954445140136173,6.047241687774658,333000
1999-03-26,6.10910238039614,6.1555006263231995,6.054971093481238,6.124568462371826,89400
1999-03-29,6.279234527662872,6.35656500214148,6.271501480215012,6.294700622558594,168800
1999-03-30,6.256033762524812,6.2637668079667455,6.1632372172216,6.178703308105469,121600
1999-03-31,6.225100829913322,6.232833874422532,6.085906028747559,6.085906028747559,134000
1999-04-01,6.093636381717128,6.101369422810678,6.012439922222229,6.078170299530029,44000
1999-04-05,6.078172678977066,6.248299649635457,6.078172678977066,6.225100517272949,116800
1999-04-06,6.2096339253290385,6.217366968822598,6.116837403406313,6.163235664367676,85200
1999-04-07,6.1555045167756175,6.163237562650964,6.054974920396116,6.101373195648193,1672800
1999-04-08,6.128437440634172,6.23283305580972,6.10523831015349,6.163235664367676,1704600
1999-04-09,6.167105227116847,6.310166119354699,6.159372180401952,6.279233932495117,104800
1999-04-12,6.248302100631602,6.372030855099554,6.248302100631602,6.325632572174072,125000
1999-04-13,6.286966090978578,6.368163542001005,6.286966090978578,6.317898273468018,135600
1999-04-14,6.310165093290761,6.348830320578082,6.240567684173584,6.240567684173584,54000
1999-04-15,6.279234745723334,6.542158368081208,6.279234745723334,6.511226177215576,518800
1999-04-16,6.580819183559969,6.7200139488996635,6.526687885927866,6.7161478996276855,177000
1999-04-19,6.897877629164,7.013873329205996,6.789614975791471,6.7973480224609375,491000
1999-04-20,6.820545820555935,6.820545820555935,6.623353641268977,6.689084053039551,772800
1999-04-21,6.650417780092624,6.696816043674666,6.52668907720718,6.588553428649902,362400
1999-04-22,6.573088028851677,6.704549789428711,6.4957575814534225,6.704549789428711,791800
1999-04-23,6.677486082824833,6.681352134062865,6.56922343250437,6.619487762451172,32600
1999-04-26,6.573089533524416,6.573089533524416,6.437761691586616,6.472559928894043,595600
1999-04-27,6.546021351224561,6.681349131318172,6.542154357749044,6.677483081817627,164800
1999-04-28,6.712284571386773,6.9984073008122465,6.712284571386773,6.8978776931762695,207400
1999-04-29,6.634954055063873,7.1453351362226325,6.619487961695425,7.106669902801514,480200
1999-04-30,7.0216070180629595,7.083471397076731,6.928810449542304,6.986808776855469,1932200
1999-05-03,6.990671586269436,7.1607985496521,6.928807235948468,7.1607985496521,553200
1999-05-04,7.168532371520996,7.207197594668359,7.11053500878754,7.168532371520996,717000
1999-05-05,7.160799087780041,7.160799087780041,6.967472978498723,7.064136505126953,762000
1999-05-06,7.098933970496369,7.11440005757806,6.936540056138609,7.044802665710449,805000
1999-05-07,6.998402279816105,7.095065766718069,6.955871025241064,7.087332725524902,721400
1999-05-10,7.079600792207708,7.153064223051597,7.006136417388916,7.006136417388916,541400
1999-05-11,7.052537017922983,7.060270062898776,6.990672658116641,7.0293378829956055,143200
1999-05-12,6.866945506211353,6.928809880141185,6.743216758351689,6.8978776931762695,1063400
1999-05-13,6.944274457224571,7.0061388176452795,6.8978761869090395,6.932675361633301,529400
1999-05-14,6.897876139437215,6.944274409433429,6.8437448244416315,6.882410049438477,509800
1999-05-17,6.789614363264977,6.874677868955084,6.77414827132132,6.855345726013184,211600
1999-05-18,6.789615877781399,6.805081973174978,6.685220205862512,6.696819305419922,67600
1999-05-19,6.7509484975376,6.828278949972166,6.685218084955844,6.789613723754883,561400
