date,o,h,l,c,v
1998-12-22,13.5621,13.9060,13.5621,13.8897,150300
1998-12-23,14.0453,15.0935,13.9879,14.2254,44000
1998-12-24,14.2254,14.2254,14.1517,14.2009,45500
1998-12-28,14.2254,14.2336,14.0534,14.1190,25400
1998-12-29,14.1271,14.4465,13.6194,14.4302,123500
1998-12-30,14.4302,14.4711,14.3155,14.3401,10200
1998-12-31,14.3073,14.3728,14.1927,14.2336,66300
1999-01-04,14.3483,14.4629,14.0125,14.1190,50000
1999-01-05,14.2009,14.2991,14.1599,14.2254,27900
1999-01-06,14.3237,14.4056,14.2336,14.3974,118500
1999-01-07,14.2909,14.2909,14.1272,14.2336,43500
1999-01-08,14.2336,14.2418,13.9552,14.1763,63800
1999-01-11,14.1435,14.1435,13.7996,13.8897,65400
1999-01-12,13.8815,13.9306,13.7586,13.7832,29400
1999-01-13,13.3901,13.8815,13.3901,13.8078,73800
1999-01-14,13.7504,13.7996,13.3573,13.5457,30800
1999-01-15,13.6603,13.7422,13.5375,13.6931,39000
1999-01-19,13.7996,13.7996,13.4474,13.5375,39200
1999-01-20,13.6194,13.7259,13.5129,13.5784,480500
1999-01-21,13.5211,13.5948,13.2918,13.3737,42500
1999-01-22,13.2918,13.4556,13.2181,13.3082,75700
1999-01-25,13.3082,13.3573,13.1608,13.2754,179000
1999-01-26,13.2836,13.5866,13.2591,13.5866,85000
1999-01-27,13.7177,13.8487,13.6767,13.7668,50400
1999-01-28,13.7832,14.0453,13.7668,14.0125,57300
1999-01-29,14.0534,14.1435,13.8569,14.0453,167800
1999-02-01,14.1435,14.1927,13.9797,13.9879,57200
1999-02-02,14.0371,14.1026,13.9060,14.1026,81800
1999-02-03,14.0371,14.1026,13.9142,14.0534,65300
1999-02-04,13.9961,14.1026,13.9224,13.9879,34400
1999-02-05,13.9879,13.9879,13.7586,13.7750,33000
1999-02-08,13.7422,13.8241,13.6358,13.7504,83500
1999-02-09,13.7177,13.7177,13.4802,13.5047,44500
1999-02-10,13.5703,13.6030,13.4310,13.6030,32000
1999-02-11,13.6522,13.8405,13.6112,13.8323,22400
1999-02-12,13.8569,13.8978,13.6194,13.7177,29600
1999-02-16,13.8897,13.9797,13.8405,13.8815,37700
1999-02-17,13.8733,14.0043,13.6440,13.7422,26800
1999-02-18,13.7914,13.9306,13.7668,13.8897,29400
1999-02-19,13.8651,13.9552,13.8078,13.8323,30300
1999-02-22,13.8897,14.2172,13.8487,14.1272,183700
1999-02-23,14.1435,14.2336,14.0371,14.1026,35400
1999-02-24,14.2009,14.2909,13.9388,14.0207,69000
1999-02-25,13.8815,13.9552,13.6685,13.8569,28100
1999-02-26,13.8241,13.9388,13.7422,13.8978,15100
1999-03-01,13.8487,13.8978,13.7095,13.8323,17500
1999-03-02,13.9060,13.9961,13.7668,13.7914,29700
1999-03-03,13.8487,13.8487,13.6521,13.7914,32000
1999-03-04,13.8160,14.0043,13.7422,13.9797,85300
1999-03-05,13.9879,14.2746,13.9879,14.1927,49100
1999-03-08,14.2254,14.2582,14.0616,14.2582,30700
1999-03-09,14.2746,14.3565,14.1517,14.2746,23300
1999-03-10,14.2172,14.2172,14.0698,14.1190,32600
1999-03-11,14.2254,14.3565,14.1599,14.2582,55700
1999-03-12,14.3892,14.4547,14.2828,14.3810,48100
1999-03-15,14.4629,14.6103,14.4138,14.5039,246400
1999-03-16,14.5284,14.6513,14.5203,14.5694,63700
1999-03-17,14.5612,14.5612,14.3155,14.3237,40900
1999-03-18,14.2664,14.5694,14.2664,14.5694,22300
1999-03-19,14.6608,14.6608,14.3900,14.5049,174200
1999-03-22,14.4310,14.5049,14.3244,14.4967,93400
1999-03-23,14.3326,14.4310,13.9224,14.0865,91600
1999-03-24,13.9634,14.1029,13.9142,14.0783,46700
1999-03-25,14.2095,14.2752,14.0537,14.1849,46000
1999-03-26,14.0537,14.1685,14.0208,14.1357,20400
1999-03-29,14.2752,14.4228,14.2752,14.3162,18200
1999-03-30,14.0290,14.2506,14.0290,14.1931,45800
1999-03-31,14.2998,14.2998,13.8650,13.8814,45800
1999-04-01,14.0290,14.0290,13.8485,13.9060,38500
1999-04-05,14.0455,14.0455,13.9306,13.9798,32900
1999-04-06,13.8732,13.9798,13.7255,13.8239,136600
1999-04-07,13.9388,13.9388,13.7255,13.8075,77800
1999-04-08,13.8321,14.1603,13.8321,14.1275,49100
1999-04-09,14.1603,14.2423,13.9880,14.1603,61000
1999-04-12,14.1767,14.4639,14.1767,14.3982,28400
1999-04-13,14.5049,14.5295,14.2752,14.4474,70200
1999-04-14,14.4393,14.4393,13.9552,14.0126,38700
1999-04-15,14.0537,14.0537,13.5204,13.6681,292300
1999-04-16,13.7337,13.7337,13.5860,13.7255,16800
1999-04-19,13.6599,13.7501,13.1266,13.1512,71700
1999-04-20,13.2907,13.5122,13.1922,13.3973,29400
1999-04-21,13.5204,13.9224,13.4465,13.8239,92900
1999-04-22,13.8157,13.9962,13.8075,13.9962,29700
1999-04-23,14.0044,14.0290,13.8568,13.9716,16600
1999-04-26,13.9798,13.9798,13.7747,13.8732,51800
1999-04-27,14.0290,14.0701,13.8896,13.8896,39800
1999-04-28,13.7993,13.9470,13.4383,13.6845,110200
1999-04-29,13.7091,13.7091,13.5204,13.5778,27100
1999-04-30,13.6024,13.6352,13.2907,13.3973,34700
1999-05-03,13.5204,13.7091,13.4383,13.7091,46900
1999-05-04,13.7829,13.8157,13.5122,13.5942,91200
1999-05-05,13.6188,13.7255,13.3809,13.7255,23500
1999-05-06,13.7665,13.7829,13.5122,13.5450,28100
1999-05-07,13.5450,13.7583,13.5204,13.6599,31900
1999-05-10,13.6517,13.6517,13.4219,13.4465,125400
1999-05-11,13.4055,13.6517,13.4055,13.5040,59800
1999-05-12,13.4958,13.7501,13.4794,13.7009,38300
1999-05-13,13.7829,13.8157,13.6516,13.7665,173300
1999-05-14,13.5122,13.6681,13.3973,13.5204,41600
1999-05-17,13.4137,13.6352,13.3891,13.6106,36800
1999-05-18,13.6106,14.1603,13.3153,13.4301,95500
1999-05-19,13.4958,13.6434,13.4548,13.6188,59400
1999-05-20,13.5778,13.7419,13.5778,13.6517,150600
