date,o,h,l,c,v
1998-12-22,9.3034,9.3608,9.3034,9.3608,7400
1998-12-23,9.3723,9.4642,9.3608,9.4010,24000
1998-12-24,9.5331,9.5733,9.4871,9.5733,3200
1998-12-28,9.5273,9.5331,9.4871,9.4871,17200
1998-12-29,9.5158,9.6939,9.5158,9.6939,2200
1998-12-30,9.6881,9.7053,9.6135,9.6135,63400
1998-12-31,9.6135,9.6479,9.6020,9.6020,64800
1999-01-04,9.6135,9.7513,9.5216,9.5446,10400
1999-01-05,9.6020,9.7054,9.6020,9.7054,2600
1999-01-06,9.8202,9.9810,9.8202,9.9810,16200
1999-01-07,9.9351,10.0384,9.9236,9.9695,27400
1999-01-08,10.0270,10.0729,9.9638,9.9810,37200
1999-01-11,10.0155,10.0270,9.8489,9.9293,126200
1999-01-12,9.7800,9.8087,9.6594,9.6709,6600
1999-01-13,9.4412,9.7168,9.4412,9.7168,6800
1999-01-14,9.6250,9.6709,9.4527,9.4986,73200
1999-01-15,9.6250,9.6307,9.5733,9.6192,69600
1999-01-19,9.7283,9.7685,9.6135,9.6135,8200
1999-01-20,9.7513,9.8662,9.7111,9.7743,7000
1999-01-21,9.7513,9.7628,9.6594,9.6824,63000
1999-01-22,9.5331,9.7570,9.5101,9.7283,24600
1999-01-25,9.6824,9.7283,9.6364,9.7054,16200
1999-01-26,9.7628,9.9351,9.7341,9.9351,7400
1999-01-27,9.9466,9.9695,9.9236,9.9236,3800
1999-01-28,9.9466,10.0270,9.9466,10.0270,8600
1999-01-29,10.0614,10.1303,9.9925,10.0959,13600
1999-02-01,10.1418,10.1476,10.0844,10.1188,12200
1999-02-02,10.0384,10.0384,9.9006,9.9925,41800
1999-02-03,9.9695,10.1648,9.9580,10.1533,46200
1999-02-04,10.2165,10.2280,10.0844,10.0959,39000
1999-02-05,9.9925,10.0557,9.8432,9.8432,11600
1999-02-08,9.9293,10.0040,9.8030,10.0040,16400
1999-02-09,9.8776,9.8891,9.6939,9.6939,18800
1999-02-10,9.6824,9.7513,9.6364,9.6939,18400
1999-02-11,9.7513,10.0212,9.7226,10.0097,24400
1999-02-12,9.8776,9.8891,9.7685,9.8317,11600
1999-02-16,9.9178,10.0155,9.9121,9.9580,18600
1999-02-17,9.9810,10.1246,9.9236,9.9236,29400
1999-02-18,9.9236,9.9351,9.8374,9.9351,7000
1999-02-19,9.9466,9.9868,9.9178,9.9868,1800
1999-02-22,10.0155,10.2394,10.0155,10.2394,28000
1999-02-23,10.2452,10.2567,10.1073,10.1877,13600
1999-02-24,10.2567,10.3256,10.0614,10.0614,18000
1999-02-25,10.0384,10.0499,9.7972,9.9466,38200
1999-02-26,9.9351,10.0729,9.9351,10.0327,17000
1999-03-01,10.0040,10.0384,9.9466,10.0384,17200
1999-03-02,10.0614,10.1820,10.0614,10.0614,36200
1999-03-03,10.0729,10.0901,10.0097,10.0097,2000
1999-03-04,10.2337,10.2567,10.1303,10.2222,10800
1999-03-05,10.4519,10.6012,10.4519,10.5323,49600
1999-03-08,10.6127,10.6127,10.4404,10.5783,24600
1999-03-09,10.5553,10.6701,10.5266,10.6070,24200
1999-03-10,10.6127,10.6299,10.5553,10.5783,11200
1999-03-11,10.6587,10.7563,10.6299,10.6931,26200
1999-03-12,10.8080,10.8654,10.4749,10.7391,27400
1999-03-15,10.7276,10.7678,10.6587,10.7620,14200
1999-03-16,10.8309,10.8309,10.6587,10.7046,12400
1999-03-17,10.6931,10.6931,10.5553,10.6587,13400
1999-03-18,10.5897,10.8424,10.5897,10.8424,14000
